5	1	500	0.225	0.00202
5	1	1000	0.465	0.003906
5	1	1500	0.737	0.0066
5	1	2000	0.717	0.00431
5	1	2500	0.947	0.00887
5	1	3000	1.113	0.010548
5	1	3500	1.337	0.01031
5	1	4000	1.78	0.016848
5	1	4500	1.78	0.013614
5	1	5000	2.078	0.020002
5	2	500	0.092	0.001858
5	2	1000	0.203	0.004158
5	2	1500	0.358	0.007318
5	2	2000	0.4545	0.007454
5	2	2500	0.5595	0.00921
5	2	3000	0.6965	0.011404
5	2	3500	0.8215	0.013486
5	2	4000	0.9025	0.015084
5	2	4500	0.934	0.019294
5	2	5000	1.322	0.02182
5	5	500	0.0446	0.002356
5	5	1000	0.1154	0.004966
5	5	1500	0.1386	0.00753
5	5	2000	0.1886	0.01012
5	5	2500	0.2322	0.012544
5	5	3000	0.3002	0.016004
5	5	3500	0.3256	0.01744
5	5	4000	0.3652	0.019766
5	5	4500	0.436	0.02348
5	5	5000	0.4478	0.024146
8	1	500	0.157	0.00107625
8	1	1000	0.359	0.00231875
8	1	1500	0.53	0.0032975
8	1	2000	0.704	0.00397125
8	1	2500	0.791	0.00573625
8	1	3000	0.946	0.0053625
8	1	3500	1.149	0.0082475
8	1	4000	1.334	0.0112162
8	1	4500	1.475	0.00892375
8	1	5000	1.446	0.0087325
8	2	500	0.0885	0.0015225
8	2	1000	0.189	0.003435
8	2	1500	0.27	0.004815
8	2	2000	0.3475	0.00631
8	2	2500	0.4295	0.0077525
8	2	3000	0.671	0.0121037
8	2	3500	0.6785	0.0105475
8	2	4000	0.688	0.01257
8	2	4500	0.816	0.0129825
8	2	5000	1.077	0.019445
8	4	500	0.04075	0.0016975
8	4	1000	0.0835	0.0028325
8	4	1500	0.11425	0.004845
8	4	2000	0.1855	0.00589
8	4	2500	0.216	0.00821875
8	4	3000	0.35575	0.00947625
8	4	3500	0.31	0.01161
8	4	4000	0.382	0.0122387
8	4	4500	0.412	0.015435
8	4	5000	0.47675	0.0177737
8	8	500	0.02775	0.00153375
8	8	1000	0.042875	0.00357125
8	8	1500	0.062125	0.0052225
8	8	2000	0.106	0.00597875
8	8	2500	0.10675	0.00879125
8	8	3000	0.143625	0.00996625
8	8	3500	0.1515	0.01267
8	8	4000	0.200875	0.01154
8	8	4500	0.202125	0.0142513
8	8	5000	0.21475	0.01822
5	1	500	0.193	0.0734
5	1	1000	0.482	0.3656
5	1	1500	0.77	0.715
5	1	2000	0.72	0.5612
5	1	2500	0.946	0.895
5	1	3000	1.171	0.8834
5	1	3500	1.431	1.0896
5	1	4000	1.974	1.856
5	1	4500	2.069	1.9308
5	1	5000	2.297	1.7616
5	2	500	0.1215	0.1978
5	2	1000	0.2125	0.4362
5	2	1500	0.3705	0.6088
5	2	2000	0.48	0.7876
5	2	2500	0.5915	0.9634
5	2	3000	0.603	1.25
5	2	3500	0.878	1.4502
5	2	4000	0.9365	1.5448
5	2	4500	1.1495	1.8812
5	2	5000	1.145	1.909
5	5	500	0.0452	0.235
5	5	1000	0.0994	0.5352
5	5	1500	0.148	0.7958
5	5	2000	0.2844	0.8962
5	5	2500	0.2766	1.2074
5	5	3000	0.29	1.5714
5	5	3500	0.3344	1.8092
5	5	4000	0.407	2.1816
5	5	4500	0.432	2.3192
5	5	5000	0.5074	2.7352
8	1	500	0.171	0.098
8	1	1000	0.335	0.173625
8	1	1500	0.487	0.257625
8	1	2000	0.698	0.4915
8	1	2500	0.905	0.654875
8	1	3000	1.185	0.691875
8	1	3500	1.272	0.7705
8	1	4000	1.297	0.92225
8	1	4500	1.389	0.851125
8	1	5000	1.607	1.165
8	2	500	0.127	0.200375
8	2	1000	0.26	0.3925
8	2	1500	0.284	0.514875
8	2	2000	0.3545	0.649375
8	2	2500	0.451	0.82325
8	2	3000	0.5225	0.960375
8	2	3500	0.626	1.12875
8	2	4000	0.809	1.47075
8	2	4500	0.7865	1.44138
8	2	5000	0.9495	1.47738
8	4	500	0.04425	0.163
8	4	1000	0.10675	0.396875
8	4	1500	0.14925	0.572
8	4	2000	0.18925	0.703375
8	4	2500	0.23375	0.768875
8	4	3000	0.29475	0.94475
8	4	3500	0.33775	1.08537
8	4	4000	0.41975	1.33625
8	4	4500	0.36275	1.56475
8	4	5000	0.4395	1.664
8	8	500	0.022625	0.181625
8	8	1000	0.042875	0.40575
8	8	1500	0.076125	0.61725
8	8	2000	0.091375	0.691875
8	8	2500	0.11825	0.812
8	8	3000	0.121	1.02588
8	8	3500	0.186	1.0655
8	8	4000	0.183	1.5075
8	8	4500	0.208625	1.51162
8	8	5000	0.212625	1.79137
5	1	500	0.172	0.036
5	1	1000	0.536	0.4708
5	1	1500	0.774	0.7032
5	1	2000	0.914	0.7136
5	1	2500	1.176	1.142
5	1	3000	1.463	1.39
5	1	3500	1.554	1.4812
5	1	4000	1.882	1.781
5	1	4500	1.844	1.4246
5	1	5000	2.249	2.1684
5	2	500	0.094	0.0976
5	2	1000	0.2	0.2092
5	2	1500	0.3615	0.2967
5	2	2000	0.4115	0.4211
5	2	2500	0.578	0.478
5	2	3000	0.605	0.6234
5	2	3500	0.871	0.7173
5	2	4000	0.9125	0.7486
5	2	4500	1.1535	0.9418
